Order Id,shipping date (DateOrders),Shipping Mode,Delivery Status,shipping_id
57242,4/18/2017 14:04,Standard Class,Advance shipping,98
3137,2/18/2015 18:40,Standard Class,Advance shipping,99
60127,5/30/2017 16:48,Standard Class,Advance shipping,100
3828,3/1/2015 20:46,Standard Class,Shipping on time,101
60386,6/2/2017 11:33,Standard Class,Advance shipping,102
973,1/19/2015 4:32,Standard Class,Shipping on time,103
57999,5/1/2017 15:16,Standard Class,Late delivery,104
54585,3/13/2017 19:12,Standard Class,Late delivery,105
57598,4/24/2017 18:47,Standard Class,Shipping on time,106
54274,3/8/2017 6:14,Standard Class,Late delivery,107
60673,6/8/2017 16:06,Standard Class,Shipping on time,108
59387,5/19/2017 21:33,Standard Class,Advance shipping,109
10007,5/30/2015 1:32,Standard Class,Advance shipping,110
55984,4/2/2017 5:20,Standard Class,Late delivery,111
58375,5/8/2017 3:00,Standard Class,Late delivery,112
56448,4/7/2017 23:53,Standard Class,Shipping on time,113
8221,5/2/2015 23:49,Standard Class,Advance shipping,114
58034,5/2/2017 3:32,Standard Class,Late delivery,115
2203,2/6/2015 3:27,Standard Class,Shipping on time,116
53069,2/18/2017 16:05,Standard Class,Late delivery,117
60146,5/29/2017 23:28,Standard Class,Advance shipping,118
55409,3/24/2017 19:53,Standard Class,Late delivery,119
8678,5/11/2015 15:56,Standard Class,Shipping on time,120
7980,5/3/2015 11:23,Standard Class,Late delivery,121
57185,4/20/2017 18:06,Standard Class,Late delivery,122
8636,5/9/2015 1:13,Standard Class,Advance shipping,123
61192,6/15/2017 5:55,Standard Class,Advance shipping,124
55876,3/28/2017 15:30,Standard Class,Advance shipping,125
53331,2/19/2017 11:52,Standard Class,Advance shipping,126
51725,1/31/2017 1:13,Standard Class,Late delivery,127
52562,2/9/2017 6:27,Standard Class,Advance shipping,128
59754,5/27/2017 6:08,Standard Class,Late delivery,129
53574,2/26/2017 1:00,Standard Class,Late delivery,130
399,1/11/2015 19:26,Standard Class,Late delivery,131
51050,1/21/2017 4:44,Second Class,Late delivery,132
45680,11/3/2016 19:23,Second Class,Late delivery,133
42992,9/22/2016 13:39,Second Class,Late delivery,134
41304,8/30/2016 22:16,Second Class,Late delivery,135
44253,10/11/2016 23:26,Second Class,Late delivery,136
46098,11/7/2016 21:49,Second Class,Late delivery,137
71077,11/6/2017 13:05,Second Class,Late delivery,138
69703,10/18/2017 11:42,Second Class,Late delivery,139
71112,11/7/2017 1:21,Second Class,Late delivery,140
69810,10/22/2017 1:12,Second Class,Late delivery,141
71092,11/6/2017 18:20,Second Class,Late delivery,142
69610,10/19/2017 3:08,Second Class,Late delivery,143
71000,11/8/2017 10:06,Second Class,Late delivery,144
70734,11/3/2017 12:55,Second Class,Late delivery,145
69626,10/15/2017 8:44,Second Class,Shipping on time,146
69482,10/14/2017 6:17,Second Class,Late delivery,147
70769,11/4/2017 1:10,Second Class,Late delivery,148
69643,10/17/2017 14:41,Second Class,Late delivery,149
71051,11/5/2017 3:58,Second Class,Shipping on time,150
69408,10/14/2017 4:21,Second Class,Late delivery,151
71123,11/8/2017 5:12,Second Class,Late delivery,152
70534,10/31/2017 14:51,Second Class,Late delivery,153
69641,10/15/2017 13:59,Second Class,Shipping on time,154
70960,11/7/2017 20:05,Second Class,Late delivery,155
69908,10/21/2017 11:32,Second Class,Late delivery,156
70957,11/4/2017 19:02,Second Class,Late delivery,157
69637,10/16/2017 12:35,Second Class,Late delivery,158
70955,11/7/2017 18:20,Second Class,Late delivery,159
70919,11/6/2017 5:44,Second Class,Late delivery,160
71009,11/7/2017 13:15,Second Class,Late delivery,161
69653,10/17/2017 18:11,Second Class,Late delivery,162
69527,10/14/2017 22:03,Second Class,Late delivery,163
71080,11/9/2017 14:08,Second Class,Late delivery,164
70544,10/31/2017 18:21,Second Class,Late delivery,165
69471,10/13/2017 2:26,Second Class,Shipping on time,166
68879,10/7/2017 11:01,Second Class,Late delivery,167
67214,9/13/2017 3:42,Second Class,Late delivery,168
17810,9/23/2015 23:17,Second Class,Late delivery,169
18793,10/6/2015 7:40,Second Class,Late delivery,170
65109,8/13/2017 10:13,Second Class,Late delivery,171
15673,8/21/2015 18:35,Second Class,Late delivery,172
18183,9/27/2015 9:57,Second Class,Late delivery,173
20234,10/28/2015 8:31,Second Class,Late delivery,174
13139,7/16/2015 18:49,Second Class,Late delivery,175
33824,5/13/2016 17:42,Standard Class,Shipping canceled,176
31364,4/7/2016 19:51,Standard Class,Shipping canceled,177
40495,8/20/2016 2:51,Standard Class,Shipping canceled,178
34506,5/20/2016 16:38,Standard Class,Shipping canceled,179
33607,5/8/2016 13:40,Standard Class,Shipping canceled,180
32617,4/24/2016 2:50,Standard Class,Shipping canceled,181
37496,7/3/2016 8:10,Standard Class,Shipping canceled,182
49075,12/23/2016 8:48,Standard Class,Shipping canceled,183
41623,9/3/2016 14:02,Standard Class,Shipping canceled,184
39271,7/29/2016 6:01,Standard Class,Shipping canceled,185
38598,7/21/2016 10:14,Standard Class,Shipping canceled,186
37845,7/12/2016 10:26,Standard Class,Shipping canceled,187
42331,9/11/2016 22:05,Standard Class,Shipping canceled,188
41345,9/1/2016 12:38,Standard Class,Shipping canceled,189
51168,1/20/2017 22:04,Standard Class,Shipping canceled,190
43599,10/3/2016 10:19,Standard Class,Shipping canceled,191
41901,9/5/2016 15:26,Standard Class,Shipping canceled,192
42751,9/18/2016 1:13,Standard Class,Advance shipping,193
45088,10/24/2016 3:59,Standard Class,Shipping on time,194
50489,1/12/2017 0:11,Standard Class,Late delivery,195
44409,10/15/2016 6:06,Standard Class,Late delivery,196
42101,9/8/2016 13:30,Standard Class,Advance shipping,197
50424,1/11/2017 1:25,Standard Class,Late delivery,198
49825,1/3/2017 7:33,Standard Class,Late delivery,199
41294,8/30/2016 18:46,Standard Class,Late delivery,200
42023,9/9/2016 10:10,Standard Class,Shipping on time,201
47774,12/3/2016 9:00,Standard Class,Late delivery,202
41827,9/5/2016 13:30,Standard Class,Advance shipping,203
47193,11/23/2016 21:27,Standard Class,Shipping on time,204
42626,9/16/2016 5:26,Standard Class,Advance shipping,205
46199,11/10/2016 9:13,Standard Class,Late delivery,206
48468,12/12/2016 12:08,Standard Class,Shipping on time,207
51009,1/19/2017 14:22,Standard Class,Late delivery,208
46229,11/10/2016 19:43,Standard Class,Late delivery,209
42882,9/20/2016 23:07,Standard Class,Advance shipping,210
46827,11/17/2016 13:14,Standard Class,Advance shipping,211
48684,12/16/2016 15:49,Standard Class,Late delivery,212
46416,11/10/2016 13:14,Standard Class,Advance shipping,213
47343,11/26/2016 2:00,Standard Class,Shipping on time,214
41686,9/2/2016 12:06,Standard Class,Advance shipping,215
41896,9/5/2016 13:41,Standard Class,Advance shipping,216
28168,2/20/2016 4:09,Standard Class,Shipping on time,217
24992,1/3/2016 19:27,Standard Class,Advance shipping,218
30851,3/28/2016 8:07,Standard Class,Advance shipping,219
25074,1/7/2016 0:11,Standard Class,Late delivery,220
76870,2/2/2018 2:38,Standard Class,Late delivery,221
25163,1/7/2016 7:22,Standard Class,Shipping on time,222
28036,2/16/2016 5:54,Standard Class,Advance shipping,223
22679,12/3/2015 1:06,Standard Class,Late delivery,224
23610,12/17/2015 15:17,Standard Class,Late delivery,225
42828,9/21/2016 4:12,Standard Class,Shipping on time,226
48713,12/16/2016 1:59,Standard Class,Shipping on time,227
45668,11/1/2016 15:11,Standard Class,Shipping on time,228
74796,12/29/2017 20:01,Standard Class,Advance shipping,229
27918,2/16/2016 12:34,Standard Class,Shipping on time,230
30097,3/18/2016 7:58,Standard Class,Advance shipping,231
30966,3/30/2016 0:25,Standard Class,Advance shipping,232
30063,3/18/2016 20:03,Standard Class,Shipping on time,233
22019,11/23/2015 9:53,Standard Class,Late delivery,234
24230,12/26/2015 16:29,Standard Class,Late delivery,235
42353,9/14/2016 5:47,Standard Class,Shipping on time,236
42134,9/12/2016 1:04,Standard Class,Late delivery,237
21522,11/14/2015 3:45,Standard Class,Advance shipping,238
23767,12/16/2015 22:17,Standard Class,Advance shipping,239
25433,1/11/2016 5:57,Standard Class,Shipping on time,240
73893,12/18/2017 15:39,Standard Class,Shipping on time,241
30085,3/21/2016 3:45,Standard Class,Late delivery,242
30172,3/19/2016 10:14,Standard Class,Advance shipping,243
27478,2/10/2016 2:25,Standard Class,Shipping on time,244
76976,1/30/2018 15:46,Standard Class,Advance shipping,245
24063,12/22/2015 5:59,Standard Class,Shipping on time,246
51209,1/22/2017 12:26,Standard Class,Late delivery,247
73839,12/18/2017 20:44,Standard Class,Late delivery,248
74723,12/30/2017 18:26,Standard Class,Shipping on time,249
26821,1/29/2016 12:14,Standard Class,Advance shipping,250
77102,2/2/2018 11:54,Standard Class,Advance shipping,251
41608,9/3/2016 8:47,Standard Class,Shipping on time,252
47009,11/22/2016 4:59,Standard Class,Late delivery,253
49916,12/31/2016 15:26,Standard Class,Advance shipping,254
29746,3/12/2016 4:59,Standard Class,Advance shipping,255
72533,11/28/2017 19:11,Standard Class,Shipping on time,256
48608,12/14/2016 13:11,Standard Class,Shipping on time,257
45506,10/28/2016 6:25,Standard Class,Advance shipping,258
45027,10/22/2016 6:36,Standard Class,Advance shipping,259
46308,11/10/2016 23:24,Standard Class,Shipping on time,260
43685,10/5/2016 16:27,Standard Class,Late delivery,261
41893,9/7/2016 12:38,Standard Class,Shipping on time,262
46339,11/12/2016 10:15,Standard Class,Late delivery,263
46667,11/15/2016 5:10,Standard Class,Advance shipping,264
47647,11/29/2016 12:30,Standard Class,Advance shipping,265
48565,12/15/2016 22:07,Standard Class,Late delivery,266
43889,10/7/2016 15:55,Standard Class,Late delivery,267
45138,10/24/2016 21:30,Standard Class,Shipping on time,268
44160,10/12/2016 14:51,Standard Class,Late delivery,269
49214,12/24/2016 9:30,Standard Class,Late delivery,270
41825,9/8/2016 12:48,Standard Class,Late delivery,271
44504,10/16/2016 15:22,Standard Class,Late delivery,272
44496,10/13/2016 12:34,Standard Class,Advance shipping,273
45559,11/1/2016 0:59,Standard Class,Late delivery,274
44074,10/10/2016 8:44,Standard Class,Late delivery,275
49857,12/31/2016 18:46,Standard Class,Advance shipping,276
41786,9/3/2016 23:08,Standard Class,Advance shipping,277
48042,12/5/2016 6:54,Standard Class,Advance shipping,278
44301,10/10/2016 16:15,Standard Class,Advance shipping,279
41591,9/1/2016 2:49,Standard Class,Advance shipping,280
44981,10/20/2016 14:29,Standard Class,Advance shipping,281
41545,9/4/2016 10:42,Standard Class,Late delivery,282
49910,1/4/2017 13:20,Standard Class,Late delivery,283
19590,10/19/2015 22:53,Standard Class,Late delivery,284
43650,10/5/2016 4:11,Standard Class,Late delivery,285
15202,8/13/2015 21:35,Standard Class,Advance shipping,286
15462,8/17/2015 16:40,Standard Class,Advance shipping,287
15155,8/16/2015 5:07,Standard Class,Late delivery,288
64451,7/31/2017 19:42,Standard Class,Advance shipping,289
67028,9/9/2017 10:32,Standard Class,Shipping on time,290
62336,6/30/2017 22:43,Standard Class,Advance shipping,291
11334,6/20/2015 10:27,Standard Class,Late delivery,292
62885,7/12/2017 23:03,Standard Class,Late delivery,293
66998,9/9/2017 0:02,Standard Class,Shipping on time,294
47002,11/20/2016 2:32,Standard Class,Advance shipping,295
63445,7/21/2017 3:15,Standard Class,Late delivery,296
67566,9/15/2017 7:01,Standard Class,Advance shipping,297
18884,10/8/2015 15:33,Standard Class,Late delivery,298
18845,10/9/2015 1:53,Standard Class,Late delivery,299
66854,9/7/2017 21:35,Standard Class,Late delivery,300
46955,11/22/2016 10:04,Standard Class,Late delivery,301
55002,3/16/2017 21:18,Standard Class,Advance shipping,302
60445,6/7/2017 8:13,Standard Class,Late delivery,303
53586,2/23/2017 5:12,Standard Class,Advance shipping,304
56618,4/10/2017 11:27,Standard Class,Shipping on time,305
51865,2/2/2017 2:16,Standard Class,Late delivery,306
2937,2/15/2015 20:36,Standard Class,Advance shipping,307
54446,3/7/2017 18:30,Standard Class,Advance shipping,308
58623,5/9/2017 17:53,Standard Class,Shipping on time,309
7411,4/21/2015 4:03,Standard Class,Advance shipping,310
5348,3/24/2015 1:17,Standard Class,Shipping on time,311
59742,5/25/2017 1:56,Standard Class,Advance shipping,312
59498,5/22/2017 12:26,Standard Class,Shipping on time,313
3459,2/25/2015 11:29,Standard Class,Late delivery,314
8470,5/10/2015 15:04,Standard Class,Late delivery,315
53455,2/25/2017 7:19,Standard Class,Late delivery,316
2014,2/4/2015 9:14,Standard Class,Late delivery,317
55899,3/31/2017 23:33,Standard Class,Late delivery,318
52582,2/9/2017 13:27,Standard Class,Advance shipping,319
56222,4/3/2017 16:43,Standard Class,Advance shipping,320
57829,4/29/2017 3:43,Standard Class,Late delivery,321
56217,4/3/2017 14:58,Standard Class,Advance shipping,322
5893,4/1/2015 0:13,Standard Class,Shipping on time,323
5528,3/26/2015 16:21,Standard Class,Shipping on time,324
367,1/9/2015 8:13,Standard Class,Advance shipping,325
52353,2/7/2017 5:14,Standard Class,Shipping on time,326
1784,2/1/2015 0:39,Standard Class,Late delivery,327
60317,6/2/2017 11:22,Standard Class,Advance shipping,328
6776,4/11/2015 21:35,Standard Class,Advance shipping,329
4487,3/10/2015 11:38,Standard Class,Advance shipping,330
9681,5/24/2015 7:20,Standard Class,Advance shipping,331
60868,6/11/2017 12:25,Standard Class,Shipping on time,332
53231,2/18/2017 0:50,Standard Class,Advance shipping,333
52601,2/8/2017 20:07,Standard Class,Advance shipping,334
4660,3/16/2015 0:15,Standard Class,Late delivery,335
3539,2/26/2015 15:31,Standard Class,Late delivery,336
54488,3/10/2017 9:13,Standard Class,Shipping on time,337
52549,2/11/2017 1:54,Standard Class,Late delivery,338
60361,6/2/2017 2:47,Standard Class,Advance shipping,339
5712,3/28/2015 8:49,Standard Class,Advance shipping,340
9309,5/21/2015 21:00,Standard Class,Late delivery,341
8095,5/5/2015 3:41,Standard Class,Late delivery,342
75892,1/15/2018 19:59,Standard Class,Advance shipping,343
75891,1/14/2018 19:38,Standard Class,Advance shipping,344
75890,1/18/2018 19:17,Second Class,Late delivery,345
75889,1/17/2018 18:56,Standard Class,Late delivery,346
75888,1/16/2018 18:35,Standard Class,Shipping on time,347
75887,1/15/2018 18:14,Standard Class,Advance shipping,348
75886,1/14/2018 17:53,Standard Class,Shipping canceled,349
75885,1/18/2018 17:32,Second Class,Late delivery,350
75884,1/17/2018 17:11,Standard Class,Late delivery,351
75883,1/14/2018 16:50,First Class,Late delivery,352
75882,1/15/2018 16:29,Standard Class,Advance shipping,353
75881,1/14/2018 16:08,Standard Class,Advance shipping,354
75880,1/18/2018 15:47,Standard Class,Late delivery,355
75879,1/17/2018 15:26,Standard Class,Late delivery,356
75878,1/16/2018 15:05,Standard Class,Shipping on time,357
75877,1/15/2018 14:44,Standard Class,Advance shipping,358
75876,1/14/2018 14:23,Standard Class,Advance shipping,359
75875,1/18/2018 14:02,Second Class,Late delivery,360
75874,1/17/2018 13:41,Standard Class,Late delivery,361
75873,1/16/2018 13:20,Standard Class,Shipping on time,362
75872,1/15/2018 12:59,Standard Class,Advance shipping,363
75871,1/14/2018 12:38,First Class,Late delivery,364
75870,1/14/2018 12:17,First Class,Late delivery,365
75869,1/14/2018 11:56,First Class,Late delivery,366
75868,1/14/2018 11:35,First Class,Late delivery,367
75867,1/12/2018 23:14,Same Day,Shipping on time,368
75866,1/12/2018 22:53,Same Day,Shipping on time,369
75865,1/12/2018 22:32,Same Day,Shipping on time,370
75864,1/17/2018 10:11,Standard Class,Late delivery,371
75863,1/16/2018 9:50,Standard Class,Shipping on time,372
75862,1/15/2018 9:29,Standard Class,Advance shipping,373
75861,1/14/2018 9:08,Standard Class,Advance shipping,374
75860,1/18/2018 8:47,Standard Class,Late delivery,375
75859,1/17/2018 8:26,Standard Class,Shipping canceled,376
75858,1/16/2018 8:05,Second Class,Late delivery,377
75857,1/15/2018 7:44,Standard Class,Advance shipping,378
75856,1/14/2018 7:23,Second Class,Shipping on time,379
75855,1/14/2018 7:02,First Class,Late delivery,380
75854,1/17/2018 6:41,Second Class,Late delivery,381
75853,1/16/2018 6:20,Second Class,Late delivery,382
75852,1/15/2018 5:59,Standard Class,Advance shipping,383
75851,1/14/2018 5:38,Standard Class,Advance shipping,384
75850,1/18/2018 5:16,Standard Class,Late delivery,385
75849,1/17/2018 4:55,Standard Class,Late delivery,386
75848,1/16/2018 4:34,Second Class,Late delivery,387
75847,1/15/2018 4:13,Second Class,Shipping canceled,388
75846,1/14/2018 3:52,Standard Class,Advance shipping,389
75845,1/18/2018 3:31,Standard Class,Late delivery,390
75844,1/17/2018 3:10,Standard Class,Late delivery,391
75843,1/16/2018 2:49,Second Class,Late delivery,392
75842,1/15/2018 2:28,Standard Class,Advance shipping,393
75841,1/14/2018 2:07,Standard Class,Advance shipping,394
75840,1/18/2018 1:46,Second Class,Late delivery,395
75839,1/17/2018 1:25,Second Class,Late delivery,396
75838,1/14/2018 1:04,First Class,Late delivery,397
75837,1/14/2018 0:43,First Class,Late delivery,398
75836,1/14/2018 0:22,Second Class,Shipping on time,399
75835,1/18/2018 0:01,Second Class,Late delivery,400
75834,1/16/2018 23:40,Second Class,Late delivery,401
75833,1/13/2018 23:19,First Class,Late delivery,402
75832,1/13/2018 22:58,First Class,Late delivery,403
75831,1/13/2018 22:37,First Class,Late delivery,404
75830,1/17/2018 22:16,Standard Class,Late delivery,405
75829,1/16/2018 21:55,Standard Class,Late delivery,406
75828,1/15/2018 21:34,Standard Class,Shipping on time,407
75827,1/14/2018 21:13,Standard Class,Advance shipping,408
75826,1/13/2018 20:52,Standard Class,Advance shipping,409
75825,1/17/2018 20:31,Standard Class,Late delivery,410
75824,1/16/2018 20:10,Standard Class,Late delivery,411
75823,1/15/2018 19:49,Standard Class,Shipping on time,412
75822,1/14/2018 19:28,Standard Class,Advance shipping,413
75821,1/13/2018 19:07,Standard Class,Advance shipping,414
75820,1/17/2018 18:46,Standard Class,Late delivery,415
75819,1/16/2018 18:25,Standard Class,Late delivery,416
75818,1/15/2018 18:04,Standard Class,Shipping on time,417
75817,1/14/2018 17:43,Standard Class,Advance shipping,418
75816,1/13/2018 17:22,Standard Class,Advance shipping,419
75815,1/17/2018 17:01,Standard Class,Late delivery,420
75814,1/16/2018 16:40,Standard Class,Late delivery,421
75813,1/15/2018 16:19,Second Class,Late delivery,422
75812,1/14/2018 15:58,Second Class,Late delivery,423
75811,1/13/2018 15:37,First Class,Late delivery,424
75810,1/17/2018 15:16,Second Class,Late delivery,425
75809,1/16/2018 14:55,Second Class,Late delivery,426
75808,1/15/2018 14:34,Second Class,Late delivery,427
75807,1/12/2018 2:13,Same Day,Late delivery,428
75806,1/12/2018 1:52,Same Day,Late delivery,429
75805,1/12/2018 1:31,Same Day,Late delivery,430
75804,1/12/2018 1:10,Same Day,Late delivery,431
75803,1/12/2018 0:49,Same Day,Late delivery,432
75802,1/12/2018 0:28,Same Day,Shipping canceled,433
75801,1/12/2018 0:06,Same Day,Late delivery,434
75800,1/17/2018 11:45,Standard Class,Late delivery,435
75799,1/16/2018 11:24,Standard Class,Late delivery,436
75798,1/15/2018 11:03,Standard Class,Shipping on time,437
75797,1/14/2018 10:42,Standard Class,Advance shipping,438
3130,2/21/2015 16:13,Second Class,Late delivery,439
49521,12/25/2016 21:03,Second Class,Shipping on time,440
30305,3/24/2016 8:50,Second Class,Late delivery,441
27772,2/13/2016 9:25,Second Class,Late delivery,442
31296,4/3/2016 20:01,Second Class,Shipping on time,443
22076,11/21/2015 5:51,Second Class,Shipping on time,444
25665,1/16/2016 15:14,Second Class,Late delivery,445
22819,12/5/2015 2:09,Second Class,Late delivery,446
27099,2/5/2016 13:38,Second Class,Late delivery,447
28292,2/20/2016 23:35,Second Class,Late delivery,448
39159,7/30/2016 14:47,Second Class,Late delivery,449
34631,5/22/2016 12:25,Second Class,Shipping on time,450
37669,7/8/2016 20:46,Second Class,Late delivery,451
40085,8/14/2016 3:12,Second Class,Late delivery,452
47262,11/23/2016 21:38,Second Class,Late delivery,453
44771,10/17/2016 12:55,Second Class,Shipping on time,454
13890,7/28/2015 17:56,Second Class,Late delivery,455
17071,9/9/2015 4:22,Second Class,Shipping on time,456
11321,6/17/2015 5:54,Second Class,Shipping on time,457
11936,6/26/2015 5:21,Second Class,Shipping on time,458
68337,9/27/2017 13:08,Second Class,Late delivery,459
45746,10/31/2016 18:30,Second Class,Shipping on time,460
13736,7/22/2015 11:58,Second Class,Shipping on time,461
49622,12/28/2016 8:26,Second Class,Late delivery,462
19444,10/16/2015 19:44,Second Class,Late delivery,463
51911,1/29/2017 18:23,Second Class,Shipping on time,464
58239,5/5/2017 3:21,Second Class,Late delivery,465
56678,4/11/2017 8:28,Second Class,Late delivery,466
53202,2/18/2017 14:40,Second Class,Late delivery,467
58738,5/11/2017 10:11,Second Class,Late delivery,468
56260,4/7/2017 6:02,Second Class,Late delivery,469
5042,3/18/2015 14:05,Second Class,Late delivery,470
55511,3/23/2017 7:37,Second Class,Shipping on time,471
54128,3/5/2017 3:05,Second Class,Late delivery,472
21244,11/12/2015 2:22,Second Class,Late delivery,473
31239,4/6/2016 0:03,Second Class,Late delivery,474
45772,11/2/2016 3:37,Second Class,Late delivery,475
24661,12/28/2015 23:29,Second Class,Shipping on time,476
22924,12/6/2015 14:56,Second Class,Late delivery,477
21902,11/19/2015 16:53,Second Class,Late delivery,478
21534,11/16/2015 7:58,Second Class,Late delivery,479
24160,12/25/2015 15:58,Second Class,Late delivery,480
32102,4/16/2016 14:24,Second Class,Late delivery,481
37763,7/9/2016 5:42,Second Class,Late delivery,482
37867,7/9/2016 18:08,Second Class,Late delivery,483
31905,4/16/2016 17:23,Second Class,Late delivery,484
36269,6/18/2016 10:17,Second Class,Late delivery,485
48374,12/12/2016 3:12,Second Class,Late delivery,486
17719,9/21/2015 15:24,Second Class,Late delivery,487
15766,8/21/2015 3:10,Second Class,Shipping on time,488
12179,7/2/2015 18:29,Second Class,Late delivery,489
66275,8/31/2017 10:44,Second Class,Late delivery,490
13140,7/17/2015 19:10,Second Class,Late delivery,491
16444,9/3/2015 0:42,Second Class,Late delivery,492
14454,8/4/2015 23:31,Second Class,Late delivery,493
67979,9/24/2017 7:43,Second Class,Late delivery,494
65264,8/15/2017 16:32,Second Class,Late delivery,495
51226,1/19/2017 18:23,Second Class,Shipping on time,496
52576,2/8/2017 11:21,Second Class,Shipping on time,497
